t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta
0.66,33,0.25742414593696594,0.966298520565033,0.26035556197166443,0.6065565347671509,-0.44092097878456116,2.0,0.45604774355888367,0.8899553418159485,0.47354915738105774,0.19862358272075653,-0.07634319365024567,0.21319358050823212
0.68,34,0.2689131498336792,0.9631644487380981,0.27226442098617554,0.5954433083534241,-0.555658757686615,2.0,0.4611234664916992,0.8873359560966492,0.4792608916759491,0.19221031665802002,-0.0758284479379654,0.20699645578861237
0.7000000000000001,35,0.2801075875759125,0.959968626499176,0.28390616178512573,0.5820871591567993,-0.6678101420402527,2.0,0.4655815362930298,0.885004997253418,0.48429158329963684,0.18547393381595612,-0.07496361434459686,0.20038540661334991
0.72,36,0.2909667193889618,0.9567331671714783,0.29523712396621704,0.5665479302406311,-0.7769597172737122,2.0,0.4694202244281769,0.8829748630523682,0.48863404989242554,0.1784535050392151,-0.07375828921794891,0.1933969259262085
0.74,37,0.3014518916606903,0.9534813761711121,0.3062150180339813,0.5488936901092529,-0.8827110528945923,2.0,0.4726382791996002,0.8812565207481384,0.4922821819782257,0.1711864024400711,-0.07222487777471542,0.18606716394424438
0.76,38,0.31152644753456116,0.9502374529838562,0.31679901480674744,0.5291999578475952,-0.9846876859664917,2.0,0.47523465752601624,0.8798590898513794,0.49523070454597473,0.16370819509029388,-0.0703783854842186,0.1784317046403885
0.78,39,0.3211560845375061,0.947026252746582,0.32694998383522034,0.5075492858886719,-1.0825345516204834,2.0,0.47720855474472046,0.8787900805473328,0.4974755048751831,0.15605247020721436,-0.06823620200157166,0.17052552103996277
0.8,40,0.3303087055683136,0.9438729882240295,0.33663061261177063,0.48403090238571167,-1.175918698310852,2.0,0.4785594642162323,0.8780551552772522,0.49901336431503296,0.1482507586479187,-0.06581780314445496,0.16238275170326233
0.8200000000000001,41,0.33895453810691833,0.9408027529716492,0.34580540657043457,0.4587402939796448,-1.264529824256897,2.0,0.47928696870803833,0.8776582479476929,0.49984210729599,0.14033243060112,-0.0631445050239563,0.15403667092323303
0.84,42,0.34706616401672363,0.9378406405448914,0.35444098711013794,0.4317786991596222,-1.3480808734893799,2.0,0.4793908894062042,0.8776015043258667,0.4999605119228363,0.13232474029064178,-0.06023916229605675,0.14551952481269836
0.86,43,0.35461851954460144,0.935011088848114,0.36250603199005127,0.403252512216568,-1.4263079166412354,2.0,0.47887122631073,0.8778851628303528,0.49936848878860474,0.12425270676612854,-0.057125918567180634,0.13686244189739227
0.88,44,0.36158886551856995,0.9323376417160034,0.36997151374816895,0.3732731342315674,-1.4989702701568604,2.0,0.47772809863090515,0.8785077333450317,0.49806681275367737,0.1161392405629158,-0.05382990464568138,0.12809529900550842
0.9,45,0.3678974509239197,0.929866373538971,0.37674686312675476,0.3387685716152191,-1.7252275943756104,1.8406227827072144,0.475961834192276,0.8794659376144409,0.4960573613643646,0.10806436836719513,-0.05040042847394943,0.11931047588586807
0.92,46,0.37341710925102234,0.9276635646820068,0.38268986344337463,0.29715001583099365,-2.0809273719787598,1.5450849533081055,0.47357288002967834,0.8807546496391296,0.49334296584129333,0.10015574842691422,-0.0469089038670063,0.1106530949473381
0.9400000000000001,47,0.3780221939086914,0.9257965087890625,0.3876590132713318,0.2484574168920517,-2.4346301555633545,1.243449330329895,0.4705619513988495,0.882366955280304,0.4899275302886963,0.09253975749015808,-0.04342957213521004,0.10226850211620331
0.96,48,0.3815888464450836,0.9243321418762207,0.3915145993232727,0.19277913868427277,-2.783914089202881,0.9369063377380371,0.46692997217178345,0.8842942714691162,0.4858158528804779,0.08534113317728043,-0.04003787413239479,0.0943012610077858
0.98,49,0.3839954733848572,0.9233349561691284,0.39411965012550354,0.130251944065094,-3.126359462738037,0.6266660690307617,0.4626781940460205,0.8865262866020203,0.48101383447647095,0.07868272811174393,-0.03680867701768875,0.086894191801548
1.0,50,0.38512277603149414,0.9228653311729431,0.39534085988998413,0.0610608272254467,-3.4595558643341064,0.3139524459838867,0.45780816674232483,0.8890510201454163,0.4755282700061798,0.0726853758096695,-0.03381434082984924,0.08018739521503448
1.02,51,0.3848539888858795,0.9229774475097656,0.3950496315956116,-0.014561321586370468,-3.7811074256896973,0.0,0.45232176780700684,0.8918548226356506,0.4693669378757477,0.06746776401996613,-0.031122645363211632,0.07431729137897491
1.04,52,0.3830749988555908,0.9237172603607178,0.39312294125556946,-0.09633416682481766,-4.088642120361328,-0.3139524459838867,0.44622138142585754,0.8949226140975952,0.46253859996795654,0.06314639002084732,-0.02879463881254196,0.06941565126180649
1.06,53,0.37967443466186523,0.9251201748847961,0.38944435119628906,-0.18393047153949738,-4.379815101623535,-0.6266660690307617,0.43950989842414856,0.8982377648353577,0.4550529718399048,0.05983548238873482,-0.026882430538535118,0.06560864299535751
1.08,54,0.3745438754558563,0.927209198474884,0.3839048147201538,-0.2769767940044403,-4.652316093444824,-0.9369063377380371,0.43219074606895447,0.901782214641571,0.4469207227230072,0.05764685198664665,-0.025426970794796944,0.0630159080028534
1.1,55,0.36757832765579224,0.9299925565719604,0.37640371918678284,-0.3750542998313904,-4.903875827789307,-1.243449330329895,0.42426797747612,0.9055367112159729,0.43815332651138306,0.056689631193876266,-0.024455875158309937,0.061749618500471115
1.12,56,0.358676552772522,0.9334619045257568,0.36684972047805786,-0.47769981622695923,-5.132275581359863,-1.5450849533081055,0.41574639081954956,0.9094805717468262,0.42876332998275757,0.05706983804702759,-0.02398131974041462,0.06191360577940941
1.1400000000000001,57,0.34774187207221985,0.9375903010368347,0.35516157746315,-0.5844069123268127,-5.335354804992676,-1.8406227827072144,0.40663158893585205,0.9135922193527222,0.41876402497291565,0.058889709413051605,-0.023998083546757698,0.06360243260860443
1.16,58,0.334731787443161,0.9423134326934814,0.34132060408592224,-0.6920494437217712,-5.382127285003662,-2.0,0.3969299793243408,0.9178488850593567,0.40816962718963623,0.06219818815588951,-0.024464551359415054,0.06684903055429459
1.18,59,0.31966882944107056,0.9475293159484863,0.32537996768951416,-0.797031819820404,-5.24911642074585,-2.0,0.3866489827632904,0.9222269654273987,0.3969951868057251,0.06698015332221985,-0.025302374735474586,0.07161524146795273
1.2,60,0.30258238315582275,0.9531232118606567,0.3074008822441101,-0.8989537954330444,-5.096099853515625,-2.0,0.37579697370529175,0.9267020225524902,0.3852566182613373,0.0732145756483078,-0.026421209797263145,0.07785573601722717
1.22,61,0.28351011872291565,0.958969235420227,0.28745245933532715,-0.9974215030670166,-4.9233856201171875,-2.0,0.36438336968421936,0.9312490224838257,0.3729705810546875,0.08087325096130371,-0.027720212936401367,0.08551811426877975
1.24,62,0.2624993622303009,0.9649321436882019,0.265611469745636,-1.0920487642288208,-4.731363296508789,-2.0,0.35241883993148804,0.9358423948287964,0.36015450954437256,0.08991948515176773,-0.029089786112308502,0.09454303234815598
1.26,63,0.23960822820663452,0.9708696603775024,0.24196229875087738,-1.1824591159820557,-4.520516395568848,-2.0,0.33991512656211853,0.9404560923576355,0.3468266427516937,0.1003069058060646,-0.030413547530770302,0.10486435145139694
1.28,64,0.2149069458246231,0.9766345024108887,0.2165965437889099,-1.2682877779006958,-4.291433811187744,-2.0,0.32688531279563904,0.9450640082359314,0.3330059349536896,0.11197835952043533,-0.03157051280140877,0.11640939116477966
1.3,65,0.18847870826721191,0.9820773005485535,0.18961286544799805,-1.349184274673462,-4.044822692871094,-2.0,0.31334367394447327,0.9496397972106934,0.3187119960784912,0.12486497312784195,-0.03243748098611832,0.12909913063049316
1.32,66,0.16042041778564453,0.9870488047599792,0.1611165702342987,-1.4248145818710327,-3.7815167903900146,-2.0,0.29930591583251953,0.9541571736335754,0.30396515130996704,0.1388855129480362,-0.03289157897233963,0.14284858107566833
1.34,67,0.13084304332733154,0.9914031028747559,0.131219282746315,-1.4948642253875732,-3.502483606338501,-2.0,0.2847890555858612,0.9585902094841003,0.2887863516807556,0.15394599735736847,-0.03281288221478462,0.1575670689344406
1.36,68,0.0998716950416565,0.9950003027915955,0.10003846883773804,-1.5590407848358154,-3.208827018737793,-2.0,0.2698114216327667,0.9629132151603699,0.2731971740722656,0.16993971168994904,-0.032087139785289764,0.1731587052345276
1.3800000000000001,69,0.06764523684978485,0.9977094531059265,0.0676969364285469,-1.6170765161514282,-2.9017891883850098,-2.0,0.2543927729129791,0.967100977897644,0.25721976161003113,0.18674753606319427,-0.03060845099389553,0.18952283263206482
1.4000000000000001,70,0.0343155674636364,0.9994110465049744,0.034322306513786316,-1.668731451034546,-2.5827460289001465,-2.0,0.2385542392730713,0.9711291790008545,0.24087683856487274,0.2042386680841446,-0.02828187309205532,0.20655453205108643
1.42,71,4.6397919504670426e-05,1.0,4.6397919504670426e-05,-1.7137954235076904,-2.2531991004943848,-2.0,0.22231827676296234,0.9749741554260254,0.2241916060447693,0.2222718745470047,-0.025025853887200356,0.22414520382881165
1.44,72,-0.034988272935152054,0.9993877410888672,-0.034995418041944504,-1.7520908117294312,-1.9147653579711914,-2.0,0.20570865273475647,0.9786132574081421,0.20718778669834137,0.24069692194461823,-0.020774442702531815,0.24218320846557617
1.46,73,-0.07060609757900238,0.9975042939186096,-0.0706648975610733,-1.7834739685058594,-1.5691604614257812,-2.0,0.18875043094158173,0.9820250868797302,0.1898895502090454,0.2593565285205841,-0.015479185618460178,0.2605544328689575
1.48,74,-0.10661861300468445,0.9943000078201294,-0.10682164877653122,-1.8078376054763794,-1.2181804180145264,-2.0,0.17146988213062286,0.9851893782615662,0.17232146859169006,0.2780885100364685,-0.009110629558563232,0.2791430950164795
1.5,75,-0.14283369481563568,0.9897466897964478,-0.1433238685131073,-1.8251111507415771,-0.8636795878410339,-2.0,0.15389446914196014,0.9880872964859009,0.15450850129127502,0.2967281639575958,-0.0016594139160588384,0.2978323698043823
1.52,76,-0.17905820906162262,0.9838384985923767,-0.18002910912036896,-1.8352620601654053,-0.5075459480285645,-2.0,0.1360526978969574,0.9907016158103943,0.13647596538066864,0.3151109218597412,0.006863120943307877,0.3165050745010376
1.54,77,-0.21510078012943268,0.9765918850898743,-0.21679502725601196,-1.838295578956604,-0.15167579054832458,-2.0,0.11797410994768143,0.9930166602134705,0.11824949830770493,0.3330748975276947,0.016424814239144325,0.3350445330142975
1.56,78,-0.2507743835449219,0.9680455327033997,-0.25348010659217834,-1.834254503250122,0.20205344259738922,-2.0,0.09968913346529007,0.9950186610221863,0.09985499083995819,0.35046350955963135,0.026973070576786995,0.35333511233329773
1.58,79,-0.28589901328086853,0.9582597613334656,-0.28994446992874146,-1.8232183456420898,0.5518094301223755,-2.0,0.08122898638248444,0.9966954588890076,0.08131857961416245,0.36712801456451416,0.038435716181993484,0.3712630569934845
1.6,80,-0.32030412554740906,0.9473147392272949,-0.3260505199432373,-1.8053017854690552,0.8958303928375244,-2.0,0.06262560933828354,0.9980370998382568,0.06266661733388901,0.3829297423362732,0.05072232708334923,0.3887171447277069
1.62,81,-0.3538306653499603,0.9353094696998596,-0.3616635799407959,-1.7806527614593506,1.232448697090149,-2.0,0.04391147568821907,0.9990354180335999,0.04392559826374054,0.3977421522140503,0.06372593343257904,0.40558916330337524
1.6400000000000001,82,-0.38633298873901367,0.9223593473434448,-0.39665257930755615,-1.7494505643844604,1.56011164188385,-2.0,0.025119516998529434,0.9996844530105591,0.025122158229351044,0.4114525020122528,0.07732507586479187,0.4217747449874878
1.6600000000000001,83,-0.41768020391464233,0.9085941314697266,-0.43089064955711365,-1.7119024991989136,1.877399206161499,-2.0,0.006282978691160679,0.9999802708625793,0.006283020135015249,0.42396315932273865,0.09138615429401398,0.43717366456985474
1.68,84,-0.44775721430778503,0.8941552042961121,-0.4642554819583893,-1.6682417392730713,2.183037757873535,-2.0,-0.01256471686065197,0.9999210834503174,-0.012565047480165958,0.4351924955844879,0.10576587915420532,0.4516904354095459
1.7,85,-0.4764653146266937,0.8791932463645935,-0.4966299533843994,-1.6187236309051514,2.475910186767578,-2.0,-0.031390100717544556,0.9995071887969971,-0.031395260244607925,0.44507521390914917,0.12031394243240356,0.4652346968650818
1.72,86,-0.5037223696708679,0.8638655543327332,-0.527902364730835,-1.5636223554611206,2.755060911178589,-2.0,-0.05015980079770088,0.9987412095069885,-0.05018085613846779,0.45356258749961853,0.13487562537193298,0.47772154211997986
1.74,87,-0.5294625759124756,0.8483332991600037,-0.557966947555542,-1.5032284259796143,3.019697904586792,-2.0,-0.06884065270423889,0.9976276755332947,-0.06889514625072479,0.4606219530105591,0.1492943912744522,0.4890718162059784
1.76,88,-0.5536357760429382,0.8327589631080627,-0.5867238640785217,-1.4378446340560913,3.2691895961761475,-2.0,-0.08739987760782242,0.9961733222007751,-0.08751153200864792,0.466235876083374,0.1634143739938736,0.4992123246192932
1.78,89,-0.5762064456939697,0.8173041939735413,-0.6140795350074768,-1.3677834272384644,3.503058910369873,-2.0,-0.10580514371395111,0.9943869113922119,-0.10600355267524719,0.4704013168811798,0.17708270251750946,0.5080759525299072
1.8,90,-0.5971527695655823,0.8021275401115417,-0.6399468183517456,-1.2933639287948608,3.7209744453430176,-2.0,-0.12402476370334625,0.9922791123390198,-0.12434494495391846,0.4731280207633972,0.19015160202980042,0.5156018733978271
1.82,91,-0.6164647936820984,0.7873824238777161,-0.6642450094223022,-1.2149091958999634,3.922736883163452,-2.0,-0.14202775061130524,0.9898626804351807,-0.14250962436199188,0.47443705797195435,0.2024802267551422,0.5217353701591492
1.84,92,-0.6341431736946106,0.773215651512146,-0.6868998408317566,-1.1327439546585083,4.108265399932861,-2.0,-0.1597839742898941,0.9871519804000854,-0.1604718118906021,0.4743591845035553,0.21393634378910065,0.5264280438423157
1.86,93,-0.6501970291137695,0.7597656846046448,-0.7078437209129333,-1.0471923351287842,4.277581691741943,-2.0,-0.17726421356201172,0.9841632843017578,-0.1782059371471405,0.4729327857494354,0.22439764440059662,0.5296377539634705
1.8800000000000001,94,-0.6646425127983093,0.7471615076065063,-0.7270152568817139,-0.9585764408111572,4.430792331695557,-2.0,-0.1944403052330017,0.9809143543243408,-0.19568683207035065,0.4702022075653076,0.23375283181667328,0.5313283801078796
1.9000000000000001,95,-0.6774539947509766,0.735565185546875,-0.7442957758903503,-0.8640274405479431,4.7274489402771,-1.8406227827072144,-0.21128518879413605,0.9774244427680969,-0.2128896415233612,0.4661687910556793,0.2418593019247055,0.5314061641693115
1.92,96,-0.6885725259780884,0.725167453289032,-0.7595187425613403,-0.7611486315727234,5.143939971923828,-1.5450849533081055,-0.22777298092842102,0.973714292049408,-0.22978992760181427,0.46079957485198975,0.2485467940568924,0.5297288298606873
1.94,97,-0.6979435682296753,0.7161527872085571,-0.7725219130516052,-0.6501585841178894,5.54950475692749,-1.243449330329895,-0.2438790500164032,0.9698056578636169,-0.24636366963386536,0.4540644884109497,0.2536528706550598,0.5261582732200623
1.96,98,-0.7055139541625977,0.7086960077285767,-0.7831481099128723,-0.5313100218772888,5.942427635192871,-0.9369063377380371,-0.2595800459384918,0.965721607208252,-0.262587308883667,0.4459339380264282,0.2570255994796753,0.5205608010292053
1.98,99,-0.711229681968689,0.7029597163200378,-0.7912459373474121,-0.40489017963409424,6.320991516113281,-0.6266660690307617,-0.2748539447784424,0.9614859819412231,-0.2784378230571747,0.4363757073879242,0.2585262656211853,0.5128081440925598
2.0,100,-0.7150323390960693,0.699091374874115,-0.7966703772544861,-0.2712210714817047,6.683454990386963,-0.3139524459838867,-0.2896801233291626,0.9571235179901123,-0.29389262199401855,0.42535218596458435,0.2580321431159973,0.5027777552604675
2.02,101,-0.7168567776679993,0.6972204446792603,-0.7992835640907288,-0.1306605041027069,7.0280280113220215,0.0,-0.30403926968574524,0.9526594877243042,-0.30892980098724365,0.41281747817993164,0.25543901324272156,0.4903537631034851
2.04,102,-0.7166280746459961,0.6974555253982544,-0.7989556193351746,0.016396498307585716,7.352850437164307,0.3139524459838867,-0.3179134726524353,0.9481196999549866,-0.323527991771698,0.3987146019935608,0.25066420435905457,0.47542765736579895
2.06,103,-0.7142593860626221,0.6998810768127441,-0.7955653071403503,0.16951584815979004,7.655967712402344,0.6266660690307617,-0.3312861919403076,0.9435303211212158,-0.337666392326355,0.38297319412231445,0.24364922940731049,0.45789891481399536
2.08,104,-0.7096496820449829,0.7045546770095825,-0.7890008687973022,0.3282221555709839,7.935315132141113,0.9369063377380371,-0.3441421687602997,0.9389175772666931,-0.35132497549057007,0.3655075132846832,0.23436285555362701,0.4376758933067322
2.1,105,-0.7026826739311218,0.7115033864974976,-0.7791609764099121,0.4919961988925934,8.188701629638672,1.243449330329895,-0.3564675450325012,0.9343076944351196,-0.3644843101501465,0.346215158700943,0.22280433773994446,0.41467663645744324
2.12,106,-0.6932259798049927,0.7207202911376953,-0.7659555077552795,0.6602722406387329,8.413802146911621,1.5450849533081055,-0.36824968457221985,0.9297269582748413,-0.37712568044662476,0.3249762952327728,0.2090066373348236,0.3888298273086548
2.14,107,-0.6811313629150391,0.7321612238883972,-0.7493067979812622,0.8324353694915771,8.608156204223633,1.8406227827072144,-0.3794771730899811,0.9252011179924011,-0.3892311453819275,0.301654189825058,0.1930398941040039,0.3600756525993347
2.16,108,-0.6662747859954834,0.74570631980896,-0.7292019724845886,1.0052409172058105,8.640276908874512,2.0,-0.3901398777961731,0.9207556247711182,-0.4007834792137146,0.2761348783969879,0.17504926025867462,0.328418493270874
2.18,109,-0.6485689282417297,0.761155903339386,-0.7057027816772461,1.1749587059020996,8.485893249511719,2.0,-0.4002286195755005,0.9164153337478638,-0.41176629066467285,0.24834032356739044,0.1552594155073166,0.29393652081489563
2.2,110,-0.6279234290122986,0.7782751321792603,-0.6788821220397949,1.3410329818725586,8.303712844848633,2.0,-0.40973538160324097,0.9122044444084167,-0.4221639633178711,0.21818803250789642,0.1339292973279953,0.2567181885242462
2.22,111,-0.6042500734329224,0.7967947721481323,-0.6488243341445923,1.5028905868530273,8.092877388000488,2.0,-0.41865313053131104,0.9081462025642395,-0.43196171522140503,0.18559692800045013,0.11135147511959076,0.21686261892318726
2.24,112,-0.5774692893028259,0.8164123892784119,-0.6156255006790161,1.659941554069519,7.852548599243164,2.0,-0.42697566747665405,0.9042630791664124,-0.4411455988883972,0.15049362182617188,0.08785071223974228,0.1744798868894577
2.2600000000000002,113,-0.5475168228149414,0.8367946743965149,-0.5793938636779785,1.811581015586853,7.581976890563965,2.0,-0.4346977472305298,0.9005764126777649,-0.4497026205062866,0.11281909793615341,0.0637817457318306,0.1296912580728531
2.2800000000000002,114,-0.514350414276123,0.8575801253318787,-0.5402500629425049,1.957192301750183,7.2805609703063965,2.0,-0.4418147802352905,0.8971062898635864,-0.4576205909252167,0.07253566384315491,0.03952619433403015,0.08262944966554642
2.3000000000000003,115,-0.4779566824436188,0.8783833980560303,-0.49832701683044434,2.0961506366729736,6.947917938232422,2.0,-0.44832292199134827,0.8938716650009155,-0.46488824486732483,0.029633784666657448,0.015488273464143276,0.033438779413700104
2.32,116,-0.43835750222206116,0.8988006711006165,-0.4537704288959503,2.227829694747925,6.583947658538818,2.0,-0.45421892404556274,0.8908901214599609,-0.47149527072906494,-0.015861403197050095,-0.00791059248149395,-0.017724836245179176
2.34,117,-0.395615816116333,0.9184160828590393,-0.40673828125,2.35160756111145,6.1888957023620605,2.0,-0.45950010418891907,0.8881776928901672,-0.4774322807788849,-0.06388427317142487,-0.030238373205065727,-0.07069399207830429
2.36,118,-0.3498404324054718,0.9368093013763428,-0.3574007749557495,2.4668757915496826,5.763411045074463,2.0,-0.46416425704956055,0.8857491612434387,-0.48269081115722656,-0.11432380974292755,-0.05106015503406525,-0.12529005110263824
