t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum,force_left,force_right
0.78,39,0.2717073857784271,0.9623799324035645,0.27516672015190125,0.5145455598831177,-0.44574543833732605,2.0,0.47720855474472046,0.8787900805473328,0.4974755048751831,0.20550116896629333,-0.0835898369550705,0.22230876982212067,0.22230876982212067,0.1629801243543625,0.0,10.0,0.5,1.0,-0.03296402975772427,-1.93421903009013,1.577264428138733,8.422735214233398
0.8,40,0.28139764070510864,0.959591269493103,0.2852502763271332,0.5041778683662415,-0.5183826684951782,2.0,0.4785594642162323,0.8780551552772522,0.49901336431503296,0.19716180860996246,-0.08153609931468964,0.2137630730867386,0.2137630730867386,0.16734084486961365,0.0,10.0,0.5,1.0,-0.03492957027755396,-1.9691486003676841,1.812880039215088,8.187119483947754
0.8200000000000001,41,0.2908337414264679,0.956773579120636,0.29509812593460083,0.49239209294319153,-0.5892897844314575,2.0,0.47928696870803833,0.8776582479476929,0.49984210729599,0.18845321238040924,-0.0791153535246849,0.20474396646022797,0.20474396646022797,0.17152591049671173,0.0,10.0,0.5,1.0,-0.036791042482251346,-2.0059396428499356,2.0610737800598145,7.9389262199401855
0.84,42,0.2999904751777649,0.9539421796798706,0.3046826720237732,0.47922661900520325,-0.6582739353179932,2.0,0.4793908894062042,0.8776015043258667,0.4999605119228363,0.17940042912960052,-0.07634071260690689,0.1952778548002243,0.1952778548002243,0.17552612721920013,0.0,10.0,0.5,1.0,-0.03854797691714328,-2.0444876197670787,2.320866107940674,7.679133892059326
0.86,43,0.3088437616825104,0.9511128067970276,0.31397712230682373,0.4647235870361328,-0.7251508831977844,2.0,0.47887122631073,0.8778851628303528,0.49936848878860474,0.1700274497270584,-0.07322762906551361,0.18539133667945862,0.18539133667945862,0.17933282256126404,0.0,10.0,0.5,1.0,-0.04020017337658709,-2.0846877931436656,2.59123158454895,7.408768177032471
0.88,44,0.31737086176872253,0.9483014941215515,0.3229556977748871,0.44892868399620056,-0.7897452116012573,2.0,0.47772809863090515,0.8785077333450317,0.49806681275367737,0.1603572517633438,-0.06979376077651978,0.1751111000776291,0.1751111000776291,0.1829378455877304,0.0,10.0,0.5,1.0,-0.04174768480149081,-2.126435477945156,2.871103525161743,7.128896236419678
0.9,45,0.32550495862960815,0.9455403089523315,0.33154571056365967,0.4295002222061157,-0.9714237451553345,1.8406227827072144,0.475961834192276,0.8794659376144409,0.4960573613643646,0.15045687556266785,-0.06607439368963242,0.16451163589954376,0.16451163589954376,0.18633407354354858,0.0,10.0,0.5,1.0,-0.042999553461689356,-2.1694350314068456,3.159377336502075,6.840622901916504
0.92,46,0.33314281702041626,0.942876398563385,0.33963483572006226,0.40445631742477417,-1.2521952390670776,1.5450849533081055,0.47357288002967834,0.8807546496391296,0.49334296584129333,0.1404300481081009,-0.062121737748384476,0.15370813012123108,0.15370813012123108,0.18951627612113953,0.0,10.0,0.5,1.0,-0.0437935872340353,-2.2132286186408807,3.4549150466918945,6.5450849533081055
0.9400000000000001,47,0.3401820659637451,0.9403595924377441,0.3471105098724365,0.373782753944397,-1.533678412437439,1.243449330329895,0.4705619513988495,0.882366955280304,0.4899275302886963,0.13037988543510437,-0.05799262970685959,0.14281703531742096,0.14281703531742096,0.19248151779174805,0.0,10.0,0.5,1.0,-0.04412497936053447,-2.257353598001415,3.7565505504608154,6.2434492111206055
0.96,48,0.34652164578437805,0.9380419850349426,0.353860467672348,0.3374982178211212,-1.8142266273498535,0.9369063377380371,0.46692997217178345,0.8842942714691162,0.4858158528804779,0.1204083263874054,-0.05374768376350403,0.13195540010929108,0.13195540010929108,0.19522924721240997,0.0,10.0,0.5,1.0,-0.04399152939411937,-2.3013451273955345,4.063093662261963,5.936906337738037
