t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,reward,reward_cum,force_left,force_right
0.9400000000000001,47,-0.005995572544634342,0.9999819993972778,-0.005995608400553465,-0.06239825859665871,-0.08740425854921341,-0.18943282961845398,0.09355364739894867,0.995614230632782,0.0936906561255455,0.09954921901226044,-0.004367786459624767,0.09968626499176025,-0.8719226239741892,-11.763390021968194,0.12434494495391846,-0.2545207142829895
0.96,48,-0.007272316142916679,0.9999735355377197,-0.0072723799385130405,-0.06383857876062393,-0.07201605290174484,-0.18736617267131805,0.06262560933828354,0.9980370998382568,0.06266661733388901,0.06989792734384537,-0.0019364663166925311,0.06993899494409561,-0.8733294646769117,-12.636719486645106,0.0936906561255455,-0.28104168176651
0.98,49,-0.008571353740990162,0.9999632835388184,-0.008571458049118519,-0.06495392322540283,-0.055767010897397995,-0.18456007540225983,0.031390100717544556,0.9995071887969971,0.031395260244607925,0.03996145725250244,-0.0004560559755191207,0.03996671736240387,-0.8752391132722354,-13.51195859991734,0.06266661733388901,-0.30645352602005005
1.0,50,-0.009885870851576328,0.9999511241912842,-0.009886031970381737,-0.06572867929935455,-0.03873782604932785,-0.18102559447288513,6.123234262925839e-17,1.0,6.123234262925839e-17,0.009885870851576328,4.88664154545404e-05,0.009886031970381737,-0.8776439242369026,-14.389602524154244,0.031395260244607925,-0.33065593242645264
1.02,51,-0.011208776384592056,0.9999371767044067,-0.01120901107788086,-0.06614897400140762,-0.021014750003814697,-0.1767766922712326,-0.031390100717544556,0.9995071887969971,-0.031395260244607925,-0.02018132619559765,-0.000429970386903733,-0.020186249166727066,-0.8805342592489691,-15.270136783403213,6.123234262925839e-17,-0.3535533845424652
1.04,52,-0.012532738037407398,0.999921441078186,-0.012533066794276237,-0.06620275229215622,-0.002689148997887969,-0.17183013260364532,-0.06262560933828354,0.9980370998382568,-0.06266661733388901,-0.05009286850690842,-0.0018843720899894834,-0.05013354867696762,-0.7080780574227664,-15.978214840825979,-0.031395260244607925,-0.3750555217266083
1.06,53,-0.013850221410393715,0.9999040961265564,-0.013850664719939232,-0.06587989628314972,0.016142958775162697,-0.16620543599128723,-0.09355364739894867,0.995614230632782,-0.0936906561255455,-0.0797034278512001,-0.004289841279387474,-0.07983998954296112,-0.5713300533567333,-16.549544894182713,-0.06266661733388901,-0.39507749676704407
1.08,54,-0.015153530053794384,0.9998852014541626,-0.01515411026775837,-0.06517226994037628,0.03538139909505844,-0.15992480516433716,-0.12402476370334625,0.9922791123390198,-0.12434494495391846,-0.108871228992939,-0.007606055121868849,-0.10919083654880524,-0.45890288108564153,-17.008447775268355,-0.0936906561255455,-0.4135402739048004
1.1,55,-0.016434846445918083,0.999864935874939,-0.016435585916042328,-0.0640738233923912,0.054922327399253845,-0.15301303565502167,-0.15389446914196014,0.9880872964859009,-0.15450850129127502,-0.1374596208333969,-0.011777648702263832,-0.1380729079246521,-0.3638696327383678,-17.372317408006722,-0.12434494495391846,-0.4303710162639618
1.12,56,-0.017686277627944946,0.9998435974121094,-0.017687199637293816,-0.0625806450843811,0.07465880364179611,-0.1454973816871643,-0.18302473425865173,0.9831082820892334,-0.18406227231025696,-0.1653384566307068,-0.016735276207327843,-0.166375070810318,-0.28177946960061906,-17.65409687760734,-0.15450850129127502,-0.44550326466560364
