t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum
5.32,266,1.0,6.123234262925839e-17,1.5707963705062866,0.25907525420188904,-11.83478832244873,-2.0,-0.27984675765037537,0.9600446820259094,-0.2836344838142395,-1.2798467874526978,0.9600446820259094,-1.8544307947158813,-1.8544307947158813,0.39048847556114197,0.0,10.0,0.5,1.0,-0.09478440263464973,-54.09112333665111
5.34,267,1.0,6.123234262925839e-17,1.5707963705062866,0.02261616662144661,-11.822954177856445,-2.0,-0.2945193350315094,0.9556455016136169,-0.29895249009132385,-1.294519305229187,0.9556455016136169,-1.869748830795288,-1.869748830795288,0.35324668884277344,0.0,10.0,0.5,1.0,-0.09239212865245769,-54.183515465303564
5.36,268,0.9999908804893494,0.004272115882486105,1.5665241479873657,-0.21360644698143005,-11.81113052368164,-2.0,-0.308718740940094,0.9511533975601196,-0.313845694065094,-1.3087096214294434,0.9468812346458435,-1.8803699016571045,-1.8803699016571045,0.3157455027103424,0.0,10.0,0.5,1.0,-0.06423530570718093,-54.24775077101074
5.38,269,0.9999120235443115,0.013263560831546783,1.5575324296951294,-0.4495910406112671,-11.799230575561523,-2.0,-0.32242754101753235,0.9465941190719604,-0.3282928764820099,-1.3223395347595215,0.9333305954933167,-1.885825276374817,-1.885825276374817,0.27808353304862976,0.0,10.0,0.5,1.0,-0.03326499369512821,-54.28101576470587
5.4,270,0.9996362924575806,0.026967164129018784,1.5438258647918701,-0.6853241920471191,-11.786657333374023,-2.0,-0.3356296420097351,0.9419940114021301,-0.3422735631465912,-1.3352659940719604,0.915026843547821,-1.8860994577407837,-1.8860994577407837,0.24036429822444916,0.0,10.0,0.5,1.0,-0.0022001960318963894,-54.28321596073776
5.42,271,0.9989702701568604,0.045370206236839294,1.525410532951355,-0.9207675457000732,-11.77216625213623,-2.0,-0.3483102321624756,0.9373793005943298,-0.3557678461074829,-1.347280502319336,0.8920091390609741,-1.881178379058838,-1.881178379058838,0.20269152522087097,0.0,10.0,0.5,1.0,-0.02025978578500904,-54.30347574652277
5.44,272,0.9976546168327332,0.06844911724328995,1.5022937059402466,-1.1558446884155273,-11.753859519958496,-2.0,-0.36045587062835693,0.9327762722969055,-0.36875656247138977,-1.3581104278564453,0.8643271327018738,-1.871050238609314,-1.871050238609314,0.16516923904418945,0.0,10.0,0.5,1.0,-0.04110655089295763,-54.34458229741573
5.46,273,0.9953656792640686,0.09616242349147797,1.4744850397109985,-1.3904286623001099,-11.729199409484863,-2.0,-0.3720543384552002,0.928210973739624,-0.3812212646007538,-1.367419958114624,0.8320485353469849,-1.8557063341140747,-1.8557063341140747,0.12790167331695557,0.0,10.0,0.5,1.0,-0.06198527772330199,-54.40656757513903
5.48,274,0.9917170405387878,0.12844203412532806,1.4419984817504883,-1.6243289709091187,-11.695015907287598,-2.0,-0.3830946385860443,0.9237090945243835,-0.3931442201137543,-1.3748116493225098,0.7952670454978943,-1.835142731666565,-1.835142731666565,0.09099318087100983,0.0,10.0,0.5,1.0,-0.08287754019825139,-54.48944511533728
5.5,275,0.9862629771232605,0.16518287360668182,1.4048528671264648,-1.8572795391082764,-11.647527694702148,-2.0,-0.39356696605682373,0.9192959666252136,-0.404508501291275,-1.3798298835754395,0.7541130781173706,-1.809361457824707,-1.809361457824707,0.05454814061522484,0.0,10.0,0.5,1.0,-0.10375881934915053,-54.593203934686436
