time,angle,velocity,acceleration,torque,target,error,reward,pid_integral,pid_derivative
2.9,0.5770478406998633,-0.0035253250908239627,-0.0363138309719656,2.5894483159026116,0.5235987901687622,-0.05344905053110105,-0.12050148876632677,0.30926694859116777,0.003162186781102694
2.91,0.57700883808992,-0.003900260994332182,-0.03749359035082195,2.588087326455809,0.5235987901687622,-0.05341004792115778,-0.12039202322680537,0.30873245808585675,0.0035253250908251488
2.92,0.5769659857416025,-0.004285234831749319,-0.03849738374171374,2.5868857067981468,0.5235987901687622,-0.05336719557284031,-0.12028699053644336,0.30819835760664516,0.003900260994327276
2.93,0.576919199275174,-0.004678646642852463,-0.039341181110314385,2.585827249098233,0.5235987901687622,-0.05332040910641178,-0.12018545661793555,0.30766468565091676,0.004285234831746809
2.94,0.5768684088530828,-0.005079042209126542,-0.04003955662740795,2.584897190962937,0.5235987901687622,-0.05326961868432056,-0.12008657935947113,0.30713148155985265,0.0046786466428527795
2.95,0.5768135578499383,-0.005485100314452686,-0.040605810532614375,2.584082088978107,0.5235987901687622,-0.053214767681176056,-0.11998960019327609,0.30659878537300944,0.005079042209121809
2.96,0.5767546016387581,-0.005895621118009351,-0.0410520803556665,2.583369703294723,0.5235987901687622,-0.05315581146999593,-0.11989383646735495,0.3060666376961977,0.005485100314450708
2.97,0.5766915064833354,-0.006309515542263325,-0.041389442425397494,2.582748892295146,0.5235987901687622,-0.05309271631457324,-0.11979867453107765,0.3055350795814977,0.005895621118012784
2.98,0.5766242485274615,-0.006725795587396368,-0.04162800451330431,2.582209516460475,0.5235987901687622,-0.05302545835869932,-0.119703563464016,0.305004152418352,0.006309515542268773
2.99,0.5765528128725489,-0.007143565491264389,-0.04177699038680202,2.5817423506345794,0.5235987901687622,-0.052954022703786685,-0.11960800938491624,0.304473897834765,0.00672579558739228
3.0,0.5764771927359384,-0.007562013661045837,-0.041844816978144836,2.5813390039520367,0.5235987901687622,-0.05287840256717624,-0.11951157028446778,0.3039443576077271,0.007143565491263271
3.0100000000000002,0.5763973886828464,-0.007980405309199374,-0.04183916481535366,2.5809918467592348,0.5235987901687622,-0.052798598514084194,-0.11941385133132955,0.30341557358205534,0.0075620136610443645
3.02,0.5763134079255243,-0.008398075732210183,-0.04176704230108089,2.58069394392035,0.5235987901687622,-0.05271461775676212,-0.11931450060630983,0.3028875875969145,0.007980405309204741
3.0300000000000002,0.5762252636837643,-0.008814424176003885,-0.041634844379370164,2.580438993947925,0.5235987901687622,-0.05262647351500205,-0.11921320522394539,0.30236044141934687,0.008398075732207744
3.04,0.5761329746013965,-0.009228908236781127,-0.041448406077724154,2.5802212734520173,0.5235987901687622,-0.052534184432634246,-0.11910968780512499,0.3018341766841969,0.008814424176006863
3.0500000000000003,0.5760365642138912,-0.009641038750534004,-0.041213051375287704,2.5800355864401654,0.5235987901687622,-0.05243777404512895,-0.11900370326773362,0.30130883483987053,0.009228908236780242
3.06,0.5759360604626057,-0.010050375128550247,-0.040933637801624345,2.5798772180482,0.5235987901687622,-0.052337270293843496,-0.11889503590592491,0.30078445709941926,0.009641038750529685
3.0700000000000003,0.575831495251606,-0.010456521099970709,-0.04061459714204617,2.5797418923118256,0.5235987901687622,-0.05223270508284383,-0.11878349673116334,0.3002610843964808,0.01005037512854523
3.08,0.5757229040433476,-0.010859120825848799,-0.04025997258780904,2.579625733627749,0.5235987901687622,-0.052124113874585376,-0.11866892105103549,0.29973875734565236,0.01045652109996631
3.09,0.5756103254898249,-0.011257855352269915,-0.039873452642111576,2.579525231581669,0.5235987901687622,-0.05201153532106273,-0.11855116626403447,0.2992175162069065,0.010859120825845725
3.1,0.5754938010960957,-0.011652439372922825,-0.03945840206529101,2.5794372088489776,0.5235987901687622,-0.05189501092733351,-0.11843010985062288,0.2986974008536959,0.011257855352264645
3.11,0.5753733749133547,-0.012042618274097755,-0.03901789011749289,2.579358791900113,0.5235987901687622,-0.05177458474459251,-0.11830564754277152,0.29817845074442256,0.011652439372922263
3.12,0.5752490932589802,-0.01242816543745361,-0.03855471633558549,2.579287384264837,0.5235987901687622,-0.05165030309021801,-0.11817769165579162,0.29766070489697666,0.012042618274099581
3.13,0.5751210044611998,-0.01280887977803905,-0.038071434058544115,2.5792206421330675,0.5235987901687622,-0.05152221429243764,-0.11804616956789193,0.2971442018660745,0.01242816543745029
3.14,0.5749891586262296,-0.01318458349702525,-0.037570371898620045,2.5791564520874926,0.5235987901687622,-0.05139036845746736,-0.11791102233415478,0.2966289797231501,0.012808879778036797
3.15,0.5748536074259255,-0.01355512003040643,-0.037053653338117915,2.57909291078136,0.5235987901687622,-0.0512548172571633,-0.11777220342286901,0.29611507603857545,0.01318458349702789
3.16,0.57471440390416,-0.013920352176551888,-0.0365232146145458,2.579028306392468,0.5235987901687622,-0.05111561373539775,-0.11762967756333849,0.29560252786600383,0.013555120030406265
3.17,0.57457160230029,-0.014280160386989694,-0.03598082104378057,2.5789611016980727,0.5235987901687622,-0.05097281213152782,-0.11748341969522588,0.29509137172864985,0.013920352176555184
3.18,0.5744252578882283,-0.014634441206177615,-0.035428081918792084,2.5788899186279917,0.5235987901687622,-0.050826467719466084,-0.1173334140103464,0.2945816436073346,0.014280160386992424
3.19,0.5742754268297559,-0.014983105847244176,-0.03486646410665617,2.578813524168477,0.5235987901687622,-0.050676636660993646,-0.11717965307879688,0.2940733789301399,0.014634441206173854
3.2,0.5741221660408375,-0.015326078891830242,-0.03429730445860657,2.578730817497801,0.5235987901687622,-0.05052337587207534,-0.11702213705189833,0.29356661256352995,0.014983105847243827
3.21,0.5739655330698056,-0.015663297103201537,-0.03372182113712961,2.5786408182456464,0.5235987901687622,-0.05036674290104337,-0.11686087293514529,0.2930613788048092,0.015326078891830797
3.22,0.5738055859863782,-0.01599470834273433,-0.03314112395327928,2.578542655779521,0.5235987901687622,-0.050206795817616,-0.11669587392505604,0.2925577113757988,0.015663297103196694
3.23,0.5736423832805707,-0.016320270580751667,-0.03255622380173348,2.578435559427436,0.5235987901687622,-0.050043593111808504,-0.1165271588042391,0.29205564341762263,0.015994708342736974
3.24,0.5734759837706359,-0.016639950993481648,-0.031968041272998196,2.5783188495544573,0.5235987901687622,-0.049877193601873704,-0.11635475138952098,0.29155520748650454,0.016320270580749696
3.25,0.5733064465192499,-0.01695372513860397,-0.03137741451223218,2.578191929420922,0.5235987901687622,-0.04970765635048768,-0.11617868002859551,0.2910564355504858,0.016639950993480035
3.2600000000000002,0.5731338307572245,-0.017261576202540072,-0.030785106393610054,2.578054277750953,0.5235987901687622,-0.049535040588462254,-0.11599897714077513,0.29055935898698093,0.01695372513860205
3.27,0.5729581958140924,-0.017563494313214474,-0.03019181106744029,2.5779054419517706,0.5235987901687622,-0.049359405645330146,-0.11581567879810817,0.2900640085810963,0.017261576202542983
3.2800000000000002,0.5727796010549665,-0.01785947591257996,-0.029598159936548366,2.5777450319252364,0.5235987901687622,-0.049180810886204296,-0.11562882434323654,0.289570414524643,0.017563494313210803
3.29,0.5725981058231296,-0.018149523183680478,-0.02900472711005185,2.577572714421616,0.5235987901687622,-0.04899931565436744,-0.1154384560408674,0.2890786064157809,0.017859475912584966
3.3000000000000003,0.5724137693878546,-0.018433643527508658,-0.02841203438281817,2.577388207885557,0.5235987901687622,-0.04881497921909239,-0.11524461875978131,0.28858861325923724,0.0181495231836859
3.31,0.5722266508970016,-0.01871184908529594,-0.027820555778728176,2.5771912777545847,0.5235987901687622,-0.048627860728239436,-0.11504735968287871,0.2881004634670463,0.01843364352750454
3.3200000000000003,0.5720368093339788,-0.01898415630227829,-0.02723072169823526,2.5769817321682007,0.5235987901687622,-0.04843801916521662,-0.11484672804269333,0.2876141848597639,0.01871184908529555
3.33,0.5718443034786855,-0.019250585529325594,-0.026642922704730412,2.576759418051771,0.5235987901687622,-0.04824551330992333,-0.11464277488015157,0.2871298046681118,0.018984156302281896
3.34,0.5716491918720943,-0.01951116065912094,-0.02605751297953457,2.5765242175441823,0.5235987901687622,-0.04805040170333208,-0.11443555282463895,0.28664734953501253,0.019250585529329012
3.35,0.5714515327841555,-0.019765908793880828,-0.02547481347598854,2.576276044737719,0.5235987901687622,-0.047852742615393296,-0.11422511589343799,0.2861668455179792,0.019511160659124727
3.36,0.5712513841847369,-0.020014859941867896,-0.02489511479870668,2.5760148427031035,0.5235987901687622,-0.04765259401597466,-0.11401151930886011,0.28568831809182527,0.019765908793878406
3.37,0.571048803717335,-0.020258046740180276,-0.024318679831238102,2.5757405807755456,0.5235987901687622,-0.04745001354857281,-0.11379481933157,0.28521179215166553,0.020014859941863694
3.38,0.5708438486753197,-0.020495504201532243,-0.023745746135196685,2.575453252077917,0.5235987901687622,-0.04724505850655747,-0.11357507310863715,0.2847372920161798,0.02025804674018472
3.39,0.5706365759804903,-0.020727269482934838,-0.023176528140259403,2.5751528712609097,0.5235987901687622,-0.04703778581172813,-0.11335233853506142,0.28426484143111425,0.02049550420153423
3.4,0.5704270421637467,-0.02095338167435955,-0.02261121914247119,2.57483947244203,0.5235987901687622,-0.04682825199498453,-0.11312667412764361,0.283794463572997,0.02072726948293413
3.41,0.5702153033476902,-0.02117388160565411,-0.022049993129455867,2.5745131073242273,0.5235987901687622,-0.04661651317892801,-0.11289813891003275,0.28332618105304713,0.020953381674360116
3.42,0.570001415230989,-0.02138881167011698,-0.021493006446287072,2.574173843479816,0.5235987901687622,-0.04640262506222681,-0.11266679230804795,0.28286001592125787,0.0211738816056517
